x, y
0.448051948, 23.6542802
1.56060606, 23.7323285
2.67316017, 23.8922253
3.78571429, 23.9805047
4.89826840, 24.1301704
6.01082251, 24.2491430
7.12337662, 24.3681155
8.23593074, 24.5280123
9.34848485, 24.6060606
10.4610390, 24.8171126
11.5735931, 24.8644678
12.6861472, 25.0755199
13.7987013, 25.1637992
14.9112554, 25.3134650
16.0238095, 25.4631307
17.1363636, 25.5514101
18.2489177, 25.7829242
19.3614719, 25.8609725
20.4740260, 26.0208693
21.5865801, 26.1807661
22.6991342, 26.2792765
23.8116883, 26.4903286
24.9242424, 26.6093011
26.0367965, 26.7282737
27.1493506, 26.9597878
28.2619048, 27.0685293
29.3744589, 27.1977329
30.4870130, 27.4190160
31.5995671, 27.5482196
32.7121212, 27.6774232
33.8246753, 27.8987063
34.9372294, 28.0483720
36.0497835, 28.1878067
37.1623377, 28.3681656
38.2748918, 28.5587555
39.3874459, 28.7186523
40.5000000, 28.8683180
41.6125541, 29.0691390
42.7251082, 29.2699599
43.8376623, 29.4298567
44.9502165, 29.5999845
46.0627706, 29.7701124
47.1753247, 30.0016265
48.2878788, 30.1819854
49.4004329, 30.3623443
50.5129870, 30.5529342
51.6255411, 30.7435241
52.7380952, 30.9341141
53.8506494, 31.1656282
54.9632035, 31.3664492
56.0757576, 31.5672702
57.1883117, 31.7680912
58.3008658, 31.9791432
59.4134199, 32.1901952
60.5259740, 32.4114783
61.6385281, 32.6225304
62.7510823, 32.8438135
63.8636364, 33.0650966
64.9761905, 33.2966107
66.0887446, 33.5281249
67.2012987, 33.7596390
68.3138528, 34.0013842
69.4264069, 34.2431294
70.5389610, 34.4848746
71.6515152, 34.7266199
72.7640693, 34.9785961
73.8766234, 35.2305724
74.9891775, 35.4825486
76.1017316, 35.7345249
77.2142857, 35.9967322
78.3268398, 36.2896327
79.4393939, 36.5518400
80.5519481, 36.8242784
81.6645022, 37.0967167
82.7770563, 37.3691551
83.8896104, 37.6927487
85.0021645, 37.9754182
86.1147186, 38.2478565
87.2272727, 38.5612191
88.3398268, 38.8745817
89.4523810, 39.1674822
90.5649351, 39.5013069
91.6774892, 39.8146695
92.7900433, 40.1178010
93.9025974, 40.4823189
95.0151515, 40.7752194
96.1277056, 41.1499683
97.2402597, 41.4633309
98.3528139, 41.8585419
99.4653680, 42.1923666
100.577922, 42.5671155
101.690476, 42.9214023
102.803030, 43.2859202
103.915584, 43.6913622
105.028139, 44.0661112
106.140693, 44.4613222
107.253247, 44.8667643
108.365801, 45.2722063
109.478355, 45.6878795
110.590909, 46.1035526
111.703463, 46.5499189
112.816017, 46.9860541
113.928571, 47.4324204
115.041126, 47.8890178
116.153680, 48.3660773
117.266234, 48.8226746
118.378788, 49.3201962
119.491342, 49.8177178
120.603896, 50.3152393
121.716450, 50.8332230
122.829004, 51.3512067
123.941558, 51.8691904
125.054113, 52.4280983
126.166667, 52.9767751
127.279221, 53.5459141
128.391775, 54.1252841
129.504329, 54.7148851
130.616883, 55.3249483
131.729437, 55.9452425
132.841991, 56.5859989
133.954545, 57.2062931
135.067100, 57.8879736
136.179654, 58.5491921
137.292208, 59.2411037
138.404762, 59.9534774
139.517316, 60.6760822
140.629870, 61.4293801
141.742424, 62.1929091
142.854978, 62.9666692
143.967532, 63.7711224
145.080087, 64.5960377
146.192641, 65.4311841
147.305195, 66.2867926
148.417749, 67.1833253
149.530303, 68.1003201
150.642857, 69.0377770
151.755411, 69.9752339
152.867965, 70.9638461
153.980519, 71.9933825
155.093074, 73.0331500
156.205628, 74.1138417
157.318182, 75.2252265
158.430736, 76.3673045
159.543290, 77.5400757
160.655844, 78.7537711
161.768398, 80.0083907
162.880952, 81.2937035
163.993506, 82.6301715
165.106061, 84.0075638
166.218615, 85.4361114
167.331169, 86.9055831
168.443723, 88.4466723
169.556277, 89.9877614
170.668831, 91.6413922
171.781385, 93.3461782
172.893939, 95.1123505
174.006494, 96.9399092
175.119048, 98.8390852
176.231602, 100.820110
176.990161, 102.075241
